Typical Measured Spectrum of Semrock FF02-409/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
435.4	0.95606
435.6	0.95644
435.8	0.95601
436.0	0.95644
436.2	0.95661
436.4	0.95637
436.6	0.95717
436.8	0.95657
437.0	0.95767
437.2	0.9577
437.4	0.95903
437.6	0.95947
437.8	0.95956
438.0	0.96084
438.2	0.96101
438.4	0.96071
438.6	0.96131
438.8	0.96242
439.0	0.96137
439.2	0.96115
439.4	0.9614
439.6	0.95994
439.8	0.95961
440.0	0.95898
440.2	0.95853
440.4	0.95719
440.6	0.9573
440.8	0.95633
441.0	0.95559
441.2	0.95479
441.4	0.9543
441.6	0.95401
441.8	0.95372
442.0	0.95456
442.2	0.95336
442.4	0.9536
442.6	0.95446
442.8	0.95572
443.0	0.95611
443.2	0.95696
443.4	0.95697
443.6	0.95821
443.8	0.95841
444.0	0.95972
444.2	0.96007
444.4	0.96079
444.6	0.96245
444.8	0.96172
445.0	0.96284
445.2	0.96273
445.4	0.96292
445.6	0.96327
445.8	0.96315
446.0	0.96232
446.2	0.96246
446.4	0.96196
446.6	0.96188
446.8	0.96022
447.0	0.95987
447.2	0.95929
447.4	0.95824
447.6	0.95771
447.8	0.95728
448.0	0.95589
448.2	0.95556
448.4	0.955
448.6	0.95401
448.8	0.95434
449.0	0.95333
449.2	0.95386
449.4	0.95374
449.6	0.95424
449.8	0.95477
450.0	0.95504
450.2	0.95576
450.4	0.9568
450.6	0.95657
450.8	0.95841
451.0	0.9593
451.2	0.96038
451.4	0.96112
451.6	0.96216
451.8	0.9631
452.0	0.96393
452.2	0.96419
452.4	0.96507
452.6	0.96484
452.8	0.96583
453.0	0.96517
453.2	0.96514
453.4	0.96527
453.6	0.96505
453.8	0.96434
454.0	0.96403
454.2	0.96408
454.4	0.9631
454.6	0.96315
454.8	0.96211
455.0	0.96203
455.2	0.96158
455.4	0.96123
455.6	0.96021
455.8	0.96033
456.0	0.95894
456.2	0.95844
456.4	0.95832
456.6	0.9576
456.8	0.95762
457.0	0.95762
457.2	0.95788
457.4	0.9574
457.6	0.95751
457.8	0.9582
458.0	0.95871
458.2	0.95963
458.4	0.96016
458.6	0.96089
458.8	0.96268
459.0	0.96359
459.2	0.9651
459.4	0.96598
459.6	0.96689
459.8	0.96747
460.0	0.96755
460.2	0.96896
460.4	0.96972
460.6	0.96968
460.8	0.97013
461.0	0.96932
461.2	0.97016
461.4	0.97016
461.6	0.96914
461.8	0.96958
462.0	0.96891
462.2	0.96822
462.4	0.96871
462.6	0.9677
462.8	0.96722
463.0	0.96685
463.2	0.9668
463.4	0.96577
463.6	0.96497
463.8	0.96461
464.0	0.96395
464.2	0.96381
464.4	0.96247
464.6	0.9623
464.8	0.96162
465.0	0.96108
465.2	0.9606
465.4	0.96002
465.6	0.96016
465.8	0.96066
466.0	0.96096
466.2	0.96078
466.4	0.96173
466.6	0.96209
466.8	0.96312
467.0	0.96411
467.2	0.96474
467.4	0.96605
467.6	0.9672
467.8	0.96819
468.0	0.96877
468.2	0.96929
468.4	0.96997
468.6	0.97067
468.8	0.97174
469.0	0.97243
469.2	0.97385
469.4	0.97432
469.6	0.97494
469.8	0.97476
470.0	0.97558
470.2	0.97622
470.4	0.97601
470.6	0.97681
470.8	0.97695
471.0	0.97714
471.2	0.97651
471.4	0.97655
471.6	0.97688
471.8	0.97602
472.0	0.97539
472.2	0.97434
472.4	0.97386
472.6	0.97353
472.8	0.97367
473.0	0.97288
473.2	0.97172
473.4	0.97202
473.6	0.97046
473.8	0.97049
474.0	0.97016
474.2	0.97004
474.4	0.96874
474.6	0.96889
474.8	0.96886
475.0	0.96876
475.2	0.96885
475.4	0.9683
475.6	0.96874
475.8	0.96911
476.0	0.96955
476.2	0.96953
476.4	0.97011
476.6	0.9708
476.8	0.97147
477.0	0.972
477.2	0.97312
477.4	0.97385
477.6	0.97496
477.8	0.97522
478.0	0.97638
478.2	0.97722
478.4	0.9785
478.6	0.97876
478.8	0.98
479.0	0.98031
479.2	0.98172
479.4	0.982
479.6	0.9822
479.8	0.98253
480.0	0.98324
480.2	0.98366
480.4	0.98371
480.6	0.9837
480.8	0.98409
481.0	0.98406
481.2	0.9837
481.4	0.9837
481.6	0.98249
481.8	0.98221
482.0	0.98233
482.2	0.98143
482.4	0.98165
482.6	0.98068
482.8	0.98046
483.0	0.97941
483.2	0.97913
483.4	0.97801
483.6	0.97766
483.8	0.97766
484.0	0.97644
484.2	0.97639
484.4	0.97618
484.6	0.97568
484.8	0.97573
485.0	0.9751
485.2	0.97542
485.4	0.97583
485.6	0.97528
485.8	0.97525
486.0	0.97533
486.2	0.97574
486.4	0.97653
486.6	0.97638
486.8	0.97742
487.0	0.97733
487.2	0.97827
487.4	0.9791
487.6	0.97959
487.8	0.98074
488.0	0.98105
