XF2048,400-477-575TBDR
Wavelength (nm),%T
720.045166,10.99649239
719.0460815,13.00563335
718.0466309,14.97057533
717.046875,17.60555267
716.046814,20.53059769
715.0463257,24.33484077
714.0455933,28.09132957
713.0444336,31.87932587
712.0430298,36.98471069
711.0411987,41.48475266
710.0391235,47.49102783
709.0366211,52.44559097
708.0338745,57.9546814
707.0307007,63.69235611
706.0272827,68.97255707
705.0234375,73.85338593
704.0193481,77.75783539
703.0148926,79.73665619
702.0100708,78.8562851
701.0049438,76.33692169
699.9995117,72.46814728
698.9937134,68.00789642
697.9876099,63.31679153
696.9812012,59.99700928
695.9744263,56.68634796
694.9672852,55.00714111
693.9598999,53.87405777
692.9521484,53.53371048
691.9440308,53.99022675
690.9356079,54.9276123
690.0710449,55.62276077
689.0620117,57.89696121
688.0526733,59.37374878
687.0429688,62.98383331
686.03302,66.61871338
685.0227051,70.54871368
684.0120239,74.57118225
683.0010986,78.50196838
681.9898071,82.45385742
680.9782104,85.49920654
679.9663086,88.53414154
678.9540405,91.4565506
677.9414673,92.79660034
676.9285889,93.56609344
676.0601196,93.83135223
675.0466309,93.11107635
674.0328369,92.8065033
673.0187378,91.59149933
672.0043335,89.95654297
670.989563,88.87727356
669.9744873,88.07875824
668.9591064,87.95445251
667.9434204,87.61284637
666.9273682,87.20085907
666.0562744,87.96440887
665.0396729,89.30847931
664.0227661,89.76587677
663.0055542,90.86287689
661.9879761,91.56452179
