Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Form of data:  Wavelength (nm) <tab> Transmission (0 to 1)	
468.8	0.86555066
469	0.8536497
469.2	0.83832218
469.4	0.82299466
469.6	0.80637588
469.8	0.78846584
470	0.7705558
470.2	0.75074132
470.4	0.73092684
470.6	0.71088722
470.8	0.69062246
471	0.6703577
471.2	0.64932802
471.4	0.62829834
471.6	0.6063262
471.8	0.5834116
472	0.560497
472.2	0.53546292
472.4	0.51042884
472.6	0.48459036
472.8	0.45794748
473	0.4313046
473.2	0.40418704
473.4	0.37706948
473.6	0.35031312
473.8	0.32391796
474	0.2975228
474.2	0.2731952
474.4	0.2488676
474.6	0.22623676
474.8	0.20530268
475	0.1843686
475.2	0.16668452
475.4	0.14900044
475.6	0.13273904
475.8	0.11790032
476	0.1030616
476.2	0.089617442
476.4	0.077927044
476.6	0.066981429
476.8	0.056910338
477	0.0483535
477.2	0.040245518
477.4	0.033497094
477.6	0.027726548
477.8	0.022823569
478	0.0187876
478.2	0.015541402
478.4	0.012856095
478.6	0.010734693
478.8	0.009047567
479	0.0076256
479.2	0.006557303
479.4	0.005638667
479.6	0.00490242
479.8	0.004309505
480	0.0037883
480.2	0.003391712
480.4	0.003036642
480.6	0.002747615
480.8	0.002512498
481	0.0022975
481.2	0.002152202
481.4	0.002016092
481.6	0.001893179
481.8	0.00178208
482	0.0016775
482.2	0.001625497
482.4	0.001575106
482.6	0.001543151
482.8	0.001528556
483	0.0015141
483.2	0.001535591
483.4	0.001557386
483.6	0.001600019
483.8	0.001665183
484	0.001733
484.2	0.001822058
484.4	0.001915693
484.6	0.002047523
484.8	0.002224696
485	0.0024172
485.2	0.002665955
485.4	0.00294031
485.6	0.003253013
485.8	0.003610197
486	0.0040066
486.2	0.004449016
486.4	0.004940283
486.6	0.005461465
486.8	0.006010851
487	0.0066155
487.2	0.007125587
487.4	0.007675004
487.6	0.00818196
487.8	0.008632903
488	0.0091087
488.2	0.009437505
488.4	0.009778179
488.6	0.010065646
488.8	0.01029457
489	0.0105287
489.2	0.010628075
489.4	0.010728389
489.6	0.010791232
489.8	0.010815938
490	0.0108407
490.2	0.010809071
490.4	0.010777534
490.6	0.010732905
490.8	0.010675348
491	0.0106181
491.2	0.010582008
491.4	0.010546039
491.6	0.01052852
491.8	0.01052936
492	0.0105302
492.2	0.010506199
492.4	0.010482253
492.6	0.010436361
492.8	0.010368812
493	0.0103017
493.2	0.010191904
493.4	0.010083278
493.6	0.009951912
493.8	0.009798727
494	0.0096479
