Typical Measured Spectrum of Semrock FF555-Di03 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
483.2	0.01813
483.4	0.01853
483.6	0.01904
483.8	0.01951
484.0	0.02024
484.2	0.021
484.4	0.02186
484.6	0.0226
484.8	0.02314
485.0	0.02353
485.2	0.02377
485.4	0.02346
485.6	0.02297
485.8	0.02208
486.0	0.02098
486.2	0.01963
486.4	0.01782
486.6	0.01621
486.8	0.01451
487.0	0.01281
487.2	0.01113
487.4	0.00967
487.6	0.00842
487.8	0.00742
488.0	0.00653
488.2	0.00582
488.4	0.00532
488.6	0.00487
488.8	0.0045
489.0	0.00424
489.2	0.00396
489.4	0.00383
489.6	0.00379
489.8	0.00365
490.0	0.00363
490.2	0.00359
490.4	0.00365
490.6	0.00376
490.8	0.00378
491.0	0.0039
491.2	0.00406
491.4	0.00414
491.6	0.00425
491.8	0.00449
492.0	0.00462
492.2	0.00483
492.4	0.00493
492.6	0.0051
492.8	0.00514
493.0	0.00522
493.2	0.00517
493.4	0.00505
493.6	0.00494
493.8	0.00467
494.0	0.00457
494.2	0.00426
494.4	0.00391
494.6	0.0036
494.8	0.0033
495.0	0.00295
495.2	0.00266
495.4	0.00239
495.6	0.00212
495.8	0.00194
496.0	0.00173
496.2	0.00157
496.4	0.00145
496.6	0.00137
496.8	0.00132
497.0	0.0012
497.2	0.00116
497.4	0.00112
497.6	0.00102
497.8	0.00101
498.0	0.00103
498.2	0.00104
498.4	0.00103
498.6	0.00104
498.8	9.7966e-04
499.0	0.00102
499.2	0.00105
499.4	0.00108
499.6	0.00112
499.8	0.00116
500.0	0.00113
500.2	0.00118
500.4	0.00126
500.6	0.00137
500.8	0.00146
501.0	0.00159
501.2	0.00179
501.4	0.00194
501.6	0.00222
501.8	0.00239
502.0	0.0027
502.2	0.00285
502.4	0.00307
502.6	0.00324
502.8	0.00345
503.0	0.00352
503.2	0.00351
503.4	0.00352
503.6	0.00344
503.8	0.00337
504.0	0.00317
504.2	0.00304
504.4	0.00281
504.6	0.00263
504.8	0.00233
505.0	0.00208
505.2	0.00195
505.4	0.00171
505.6	0.00151
505.8	0.00134
506.0	0.00129
506.2	0.00112
506.4	0.0011
506.6	9.8499e-04
506.8	9.1871e-04
507.0	9.1368e-04
507.2	8.4774e-04
507.4	9.0941e-04
507.6	8.4701e-04
507.8	8.8056e-04
508.0	8.0901e-04
508.2	8.4994e-04
508.4	8.4536e-04
508.6	8.8979e-04
508.8	8.5201e-04
509.0	9.6268e-04
509.2	9.4079e-04
509.4	9.8009e-04
509.6	0.00114
509.8	0.00114
510.0	0.00129
510.2	0.00145
510.4	0.00168
510.6	0.00192
510.8	0.0023
511.0	0.0028
511.2	0.00345
511.4	0.00426
511.6	0.00516
511.8	0.0062
512.0	0.0072
512.2	0.00826
512.4	0.00914
512.6	0.00995
512.8	0.01055
513.0	0.01088
513.2	0.01094
513.4	0.01089
513.6	0.01055
513.8	0.00996
514.0	0.00913
514.2	0.00808
514.4	0.00706
514.6	0.00597
514.8	0.00491
515.0	0.00392
515.2	0.00311
515.4	0.00246
515.6	0.00198
515.8	0.00169
516.0	0.00142
516.2	0.00128
516.4	0.0011
516.6	9.761e-04
516.8	8.8872e-04
517.0	8.3162e-04
517.2	7.672e-04
517.4	7.4663e-04
517.6	7.1583e-04
517.8	6.4207e-04
518.0	6.1956e-04
518.2	5.5416e-04
518.4	6.033e-04
518.6	5.3423e-04
518.8	5.0516e-04
519.0	5.0223e-04
519.2	4.904e-04
519.4	4.854e-04
519.6	4.7415e-04
519.8	5.1133e-04
520.0	4.8311e-04
520.2	4.8548e-04
520.4	4.6533e-04
520.6	4.9964e-04
520.8	4.95e-04
521.0	5.0438e-04
521.2	4.6649e-04
521.4	4.9124e-04
521.6	5.0759e-04
521.8	5.2747e-04
522.0	5.4503e-04
522.2	4.9857e-04
522.4	5.2903e-04
522.6	5.7329e-04
522.8	5.5764e-04
523.0	5.5581e-04
523.2	5.8056e-04
523.4	5.7552e-04
523.6	5.9814e-04
523.8	6.094e-04
524.0	6.7302e-04
524.2	7.001e-04
524.4	6.8125e-04
524.6	7.4231e-04
524.8	7.2717e-04
525.0	7.5047e-04
525.2	7.6772e-04
525.4	8.5268e-04
525.6	8.3649e-04
525.8	8.5348e-04
526.0	8.9753e-04
526.2	9.3914e-04
526.4	9.7528e-04
526.6	9.9968e-04
526.8	0.00112
527.0	0.00112
527.2	0.00117
527.4	0.00123
527.6	0.00134
527.8	0.00142
528.0	0.00148
528.2	0.00162
528.4	0.00172
528.6	0.00184
528.8	0.00196
529.0	0.00212
529.2	0.00226
529.4	0.00247
529.6	0.00262
529.8	0.00286
530.0	0.00311
530.2	0.0033
530.4	0.00353
530.6	0.00376
530.8	0.00403
531.0	0.00426
531.2	0.00449
531.4	0.00466
531.6	0.00491
531.8	0.00507
532.0	0.00523
532.2	0.00533
532.4	0.00541
532.6	0.00544
532.8	0.00538
533.0	0.00545
533.2	0.00528
533.4	0.00524
533.6	0.00511
533.8	0.00492
534.0	0.00481
534.2	0.00459
534.4	0.00443
534.6	0.00424
534.8	0.00413
535.0	0.00397
535.2	0.00386
535.4	0.00373
535.6	0.00368
535.8	0.00364
536.0	0.00357
536.2	0.00354
536.4	0.00348
536.6	0.00346
536.8	0.00342
537.0	0.0034
537.2	0.00333
537.4	0.00329
537.6	0.00319
537.8	0.00311
538.0	0.003
538.2	0.00296
538.4	0.00284
538.6	0.00274
538.8	0.00268
539.0	0.00258
539.2	0.00258
539.4	0.00255
539.6	0.00256
539.8	0.00261
540.0	0.00263
540.2	0.00267
540.4	0.00268
540.6	0.00277
540.8	0.00278
541.0	0.00289
541.2	0.00295
541.4	0.00301
541.6	0.00309
541.8	0.00317
542.0	0.00328
542.2	0.00336
542.4	0.00349
542.6	0.00364
542.8	0.0038
543.0	0.00487
543.2	0.00597
543.4	0.00613
543.6	0.00631
543.8	0.00653
544.0	0.00675
544.2	0.00697
544.4	0.00728
544.6	0.00763
544.8	0.00794
545.0	0.00835
545.2	0.00876
545.4	0.0092
545.6	0.00972
545.8	0.01027
546.0	0.01081
546.2	0.01146
546.4	0.0122
546.6	0.01308
546.8	0.01393
547.0	0.01494
547.2	0.01605
547.4	0.0173
547.6	0.01874
547.8	0.02042
548.0	0.02208
548.2	0.02443
548.4	0.02639
548.6	0.02902
548.8	0.03183
549.0	0.03521
549.2	0.03903
549.4	0.04328
549.6	0.04833
549.8	0.05358
550.0	0.05991
550.2	0.06718
550.4	0.07594
550.6	0.08478
550.8	0.09496
551.0	0.1067
551.2	0.11899
551.4	0.13315
551.6	0.14866
551.8	0.16538
552.0	0.18288
552.2	0.20151
552.4	0.2217
552.6	0.24232
552.8	0.26386
553.0	0.28451
553.2	0.30531
553.4	0.3249
553.6	0.34474
553.8	0.36261
554.0	0.37951
554.2	0.39552
554.4	0.41045
554.6	0.42316
554.8	0.4333
555.0	0.4432
555.2	0.45141
555.4	0.45905
555.6	0.46425
555.8	0.468
556.0	0.47197
556.2	0.47389
556.4	0.47817
556.6	0.48181
556.8	0.48692
557.0	0.49205
557.2	0.49723
557.4	0.50472
557.6	0.51398
557.8	0.52441
558.0	0.53656
558.2	0.55218
558.4	0.57061
558.6	0.5895
558.8	0.61152
559.0	0.63465
559.2	0.65874
559.4	0.68465
559.6	0.71146
559.8	0.74054
560.0	0.76898
560.2	0.79395
560.4	0.81929
560.6	0.84352
560.8	0.86754
561.0	0.88483
561.2	0.90427
561.4	0.92082
561.6	0.9339
561.8	0.94529
562.0	0.95425
562.2	0.96031
562.4	0.96416
562.6	0.97463
562.8	0.97879
563.0	0.97806
563.2	0.97856
563.4	0.97856
563.6	0.98076
563.8	0.98097
564.0	0.97784
564.2	0.97854
564.4	0.97956
564.6	0.97672
564.8	0.97671
565.0	0.97665
565.2	0.97604
565.4	0.97519
565.6	0.97459
565.8	0.97166
566.0	0.97036
566.2	0.97056
566.4	0.97393
566.6	0.97422
566.8	0.97318
567.0	0.97372
567.2	0.97273
567.4	0.97086
567.6	0.97219
567.8	0.97024
568.0	0.97148
568.2	0.96989
568.4	0.96989
568.6	0.97194
568.8	0.97333
569.0	0.97438
569.2	0.97564
569.4	0.97678
569.6	0.97796
569.8	0.97414
570.0	0.9754
570.2	0.97679
570.4	0.97938
570.6	0.97866
570.8	0.97574
571.0	0.97394
571.2	0.97714
571.4	0.98063
571.6	0.98032
571.8	0.97964
572.0	0.97934
572.2	0.97923
572.4	0.97861
572.6	0.97882
572.8	0.97743
573.0	0.97572
573.2	0.97836
573.4	0.97667
573.6	0.97898
573.8	0.98093
574.0	0.98045
574.2	0.98032
574.4	0.97962
574.6	0.97669
574.8	0.97694
575.0	0.97731
575.2	0.97602
575.4	0.97295
575.6	0.97587
575.8	0.977
576.0	0.97771
576.2	0.97508
576.4	0.97548
576.6	0.97319
576.8	0.97002
577.0	0.97085
577.2	0.97416
577.4	0.97375
577.6	0.97246
577.8	0.97119
578.0	0.96997
578.2	0.96964
578.4	0.97052
578.6	0.97076
578.8	0.96715
579.0	0.96915
579.2	0.9677
579.4	0.96566
579.6	0.96384
579.8	0.96656
580.0	0.96721
580.2	0.96871
580.4	0.96811
580.6	0.96952
580.8	0.97044
581.0	0.96971
581.2	0.96652
581.4	0.96706
581.6	0.96756
581.8	0.96701
582.0	0.96552
582.2	0.96753
582.4	0.96813
582.6	0.96815
582.8	0.96734
583.0	0.96719
583.2	0.96636
583.4	0.96736
583.6	0.9682
583.8	0.96899
584.0	0.97063
584.2	0.97276
584.4	0.9715
584.6	0.9712
584.8	0.96912
585.0	0.96824
585.2	0.97082
585.4	0.97103
585.6	0.9721
585.8	0.9744
586.0	0.97687
586.2	0.97633
586.4	0.97652
586.6	0.97731
586.8	0.97929
587.0	0.97775
587.2	0.97567
587.4	0.97624
587.6	0.97905
587.8	0.97873
588.0	0.9768
588.2	0.97776
588.4	0.97774
588.6	0.98212
588.8	0.97822
589.0	0.97989
589.2	0.97949
589.4	0.97839
589.6	0.977
589.8	0.97504
590.0	0.97616
590.2	0.97894
590.4	0.98047
590.6	0.98105
590.8	0.97905
591.0	0.9785
591.2	0.97872
591.4	0.97412
591.6	0.97111
591.8	0.97425
592.0	0.97479
592.2	0.97544
592.4	0.97592
592.6	0.97546
592.8	0.97967
593.0	0.97675
593.2	0.97577
593.4	0.97761
593.6	0.9776
593.8	0.97758
594.0	0.97915
594.2	0.97969
594.4	0.97735
594.6	0.97605
594.8	0.97737
595.0	0.97591
595.2	0.97528
595.4	0.97667
595.6	0.97782
595.8	0.9767
596.0	0.97613
596.2	0.97295
596.4	0.97218
596.6	0.97401
596.8	0.97526
597.0	0.97684
597.2	0.9794
597.4	0.97796
597.6	0.97661
597.8	0.9741
598.0	0.9724
598.2	0.97324
598.4	0.97322
598.6	0.97322
598.8	0.97328
599.0	0.97557
599.2	0.97616
599.4	0.97547
599.6	0.97687
599.8	0.97451
600.0	0.97634
600.2	0.97833
600.4	0.97765
600.6	0.97459
600.8	0.97427
601.0	0.97403
601.2	0.97824
601.4	0.98021
601.6	0.97817
601.8	0.98099
602.0	0.9793
602.2	0.9794
602.4	0.97806
602.6	0.97715
602.8	0.98129
603.0	0.97914
603.2	0.97909
603.4	0.98093
603.6	0.98014
603.8	0.98076
604.0	0.98339
604.2	0.98172
604.4	0.97919
604.6	0.97939
604.8	0.9784
605.0	0.97855
605.2	0.976
605.4	0.97712
605.6	0.97898
605.8	0.97429
606.0	0.97549
606.2	0.9754
606.4	0.97616
606.6	0.97597
606.8	0.9751
607.0	0.97081
607.2	0.97209
607.4	0.97227
607.6	0.97287
607.8	0.97099
608.0	0.97026
608.2	0.96879
608.4	0.96823
608.6	0.96852
608.8	0.97213
609.0	0.97117
609.2	0.96834
609.4	0.96713
609.6	0.96833
609.8	0.96688
610.0	0.96703
610.2	0.97163
610.4	0.97271
610.6	0.97084
610.8	0.96677
611.0	0.96942
611.2	0.9702
611.4	0.97278
611.6	0.96981
611.8	0.96944
612.0	0.97067
612.2	0.96786
612.4	0.96934
612.6	0.97244
612.8	0.97091
613.0	0.96816
613.2	0.97049
613.4	0.97411
613.6	0.97197
613.8	0.97037
614.0	0.96833
614.2	0.96825
614.4	0.96934
614.6	0.96948
614.8	0.97087
615.0	0.97453
615.2	0.97382
615.4	0.97467
615.6	0.97404
615.8	0.97251
616.0	0.97103
616.2	0.97213
616.4	0.97283
616.6	0.9734
616.8	0.96986
617.0	0.97031
617.2	0.97439
617.4	0.97283
617.6	0.97144
617.8	0.97496
618.0	0.97618
618.2	0.97554
618.4	0.97402
618.6	0.9744
618.8	0.97551
619.0	0.9747
619.2	0.97424
619.4	0.97517
619.6	0.97808
619.8	0.97618
620.0	0.97607
620.2	0.97629
620.4	0.97667
620.6	0.97701
620.8	0.97784
621.0	0.97451
621.2	0.97547
621.4	0.97397
621.6	0.9763
621.8	0.97605
622.0	0.9742
622.2	0.97214
