Typical Measured Spectrum of Semrock FF593-Di02 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
393.2	0.0835860841501973
393.4	0.0870596597873907
393.6	0.0914801251654332
393.8	0.0969757915668031
394	0.10280161
394.2	0.110394037244157
394.4	0.118547204261337
394.6	0.127836067900385
394.8	0.138430529020271
395	0.14990301
395.2	0.162474081473617
395.4	0.176099380197205
395.6	0.190480806155044
395.8	0.205619486123387
396	0.22196133
396.2	0.237858119117988
396.4	0.254893430447308
396.6	0.27181383951964
396.8	0.288440838516778
397	0.30608492
397.2	0.320867384996289
397.4	0.336363773668943
397.6	0.350290066153812
397.8	0.362394326926732
398	0.37491685
398.2	0.383749311676797
398.4	0.39278985250307
398.6	0.400444152269488
398.8	0.406623710405066
399	0.41289863
399.2	0.417745015433241
399.4	0.422648285171881
399.6	0.427409149833976
399.8	0.432021527721909
400	0.43668368
400.2	0.441432647852363
400.4	0.446233261087174
400.6	0.451116229899105
400.8	0.456083111757531
401	0.46110468
401.2	0.464442061699418
401.4	0.467803598687407
401.6	0.47009308847588
401.8	0.471294603755922
402	0.47249919
402.2	0.469073763818243
402.4	0.465673170577525
402.6	0.459005931399566
402.8	0.449213070687052
403	0.43962914
403.2	0.422476059865138
403.4	0.405992244188297
403.6	0.386457927764567
403.8	0.364380858749845
404	0.34356498
404.2	0.319102879722376
404.4	0.296382500472291
404.6	0.275046108860671
404.8	0.255028998942119
405	0.23646868
405.2	0.221385322813181
405.4	0.207264070476887
405.6	0.196397388200148
405.8	0.18835791738279
406	0.18064754
406.2	0.178946866856818
406.4	0.17726220438912
406.6	0.178635067818237
406.8	0.183136883363974
407	0.18775215
407.2	0.197774371624454
407.4	0.208331580072173
407.6	0.220808008249794
407.8	0.235477356129583
408	0.25112126
408.2	0.266812019484953
408.4	0.283483181557941
408.6	0.300000259860184
408.8	0.316219310946302
409	0.33331522
409.2	0.34835575938095
409.4	0.364074989116543
409.6	0.378367094800108
409.8	0.391012409408755
410	0.40408034
410.2	0.410469419472609
410.4	0.416959519293071
410.6	0.419121688608328
410.8	0.416888132844857
411	0.41466648
411.2	0.402665228567099
411.4	0.391011316605562
411.6	0.375113442593461
411.8	0.355519995189578
412	0.33694998
412.2	0.314399995873728
412.4	0.293359143114952
412.6	0.274570075889427
412.8	0.257776461427339
413	0.24201
413.2	0.232880268216651
413.4	0.224094951963388
413.6	0.218702037301037
413.8	0.216468624705952
414	0.21425802
414.2	0.216955480325033
414.4	0.219686901069401
414.6	0.224484016478741
414.8	0.231480498731003
415	0.23869504
415.2	0.249040386469443
415.4	0.259834113406168
415.6	0.272330840633293
415.8	0.286729089506089
416	0.30188858
416.2	0.31951488896077
416.4	0.338170341745332
416.6	0.358214376027653
416.8	0.379763817909466
417	0.40260963
417.2	0.424861657450563
417.4	0.448343543028614
417.6	0.471263075203664
417.8	0.493406673512598
