Typical Measured Spectrum of Semrock FF01-561/14 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
450.4	1.8053E-08
450.6	1.4998E-08
450.8	1.246E-08
451	1.0716E-08
451.2	1.068E-08
451.4	1.0644E-08
451.6	1.0607E-08
451.8	1.0571E-08
452	1.0536E-08
452.2	1.05E-08
452.4	1.0464E-08
452.6	1.0429E-08
452.8	1.0393E-08
453	1.2635E-08
453.2	1.6045E-08
453.4	2.0375E-08
453.6	2.5874E-08
453.8	3.2857E-08
454	4.1724E-08
454.2	5.2985E-08
454.4	6.7284E-08
454.6	8.5443E-08
454.8	1.085E-07
455	1.0784E-07
455.2	9.6742E-08
455.4	8.6783E-08
455.6	7.785E-08
455.8	6.9836E-08
456	6.2648E-08
456.2	5.6199E-08
456.4	5.0414E-08
456.6	4.5225E-08
456.8	4.0569E-08
457	3.9473E-08
457.2	4.0545E-08
457.4	4.1645E-08
457.6	4.2775E-08
457.8	4.3936E-08
458	4.5128E-08
458.2	4.6353E-08
458.4	4.7611E-08
458.6	4.8903E-08
458.8	5.023E-08
459	5.2321E-08
459.2	5.5299E-08
459.4	5.8447E-08
459.6	6.1774E-08
459.8	6.529E-08
460	6.9006E-08
460.2	7.2934E-08
460.4	7.7086E-08
460.6	8.1474E-08
460.8	8.6111E-08
461	9.0939E-08
461.2	9.5718E-08
461.4	1.0075E-07
461.6	1.0604E-07
461.8	1.1162E-07
462	1.1748E-07
462.2	1.2366E-07
462.4	1.3015E-07
462.6	1.3699E-07
462.8	1.4419E-07
463	1.4525E-07
463.2	1.4497E-07
463.4	1.4468E-07
463.6	1.4439E-07
463.8	1.4411E-07
464	1.4382E-07
464.2	1.4354E-07
464.4	1.4326E-07
464.6	1.4297E-07
464.8	1.4269E-07
465	1.1766E-07
465.2	9.0071E-08
465.4	6.8953E-08
465.6	5.2787E-08
465.8	4.0411E-08
466	3.0936E-08
466.2	2.3683E-08
466.4	1.8131E-08
466.6	1.388E-08
466.8	1.0626E-08
467	9.5987E-09
467.2	9.5967E-09
467.4	9.5946E-09
467.6	9.5926E-09
467.8	9.5906E-09
468	9.5886E-09
468.2	9.5866E-09
468.4	9.5846E-09
468.6	9.5826E-09
468.8	9.5806E-09
469	1.18E-08
469.2	1.7618E-08
469.4	2.6305E-08
469.6	3.9274E-08
469.8	5.8639E-08
470	8.7552E-08
470.2	1.3072E-07
470.4	1.9518E-07
470.6	2.9141E-07
470.8	4.351E-07
