Typical Measured Spectrum of Semrock FF01-457/530/628 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
428.4	1.3072e-07
428.6	1.3689e-07
428.8	1.4336e-07
429.0	1.4488e-07
429.2	1.4634e-07
429.4	1.4687e-07
429.6	1.4628e-07
429.8	1.4569e-07
430.0	1.513e-07
430.2	1.5679e-07
430.4	1.4133e-07
430.6	1.2739e-07
430.8	1.2681e-07
431.0	1.4027e-07
431.2	1.5516e-07
431.4	1.5867e-07
431.6	1.6221e-07
431.8	1.5575e-07
432.0	1.4954e-07
432.2	1.489e-07
432.4	1.5433e-07
432.6	1.5996e-07
432.8	1.7527e-07
433.0	1.9189e-07
433.2	1.7797e-07
433.4	1.6506e-07
433.6	1.555e-07
433.8	1.5394e-07
434.0	1.5233e-07
434.2	1.4519e-07
434.4	1.3838e-07
434.6	2.4303e-06
434.8	1.881e-07
435.0	2.5557e-07
435.2	1.0733e-07
435.4	5.2646e-08
435.6	2.954e-08
435.8	5.9713e-08
436.0	1.207e-07
436.2	1.7068e-07
436.4	1.8329e-07
436.6	1.9042e-07
436.8	1.8997e-07
437.0	1.8952e-07
437.2	2.1556e-07
437.4	2.48e-07
437.6	2.373e-07
437.8	1.7021e-07
438.0	1.6398e-07
438.2	3.0007e-07
438.4	5.4909e-07
438.6	8.2093e-07
438.8	1.1613e-06
439.0	1.6826e-06
439.2	2.6102e-06
439.4	4.0775e-06
439.6	6.6493e-06
439.8	1.0843e-05
440.0	1.8886e-05
440.2	3.4309e-05
440.4	6.3143e-05
440.6	1.3366e-04
440.8	2.6829e-04
441.0	4.8847e-04
441.2	9.2192e-04
441.4	0.00182
441.6	0.00364
441.8	0.00729
442.0	0.0151
442.2	0.03261
442.4	0.07137
442.6	0.16307
442.8	0.35678
443.0	0.62891
443.2	0.81468
443.4	0.84794
443.6	0.84435
443.8	0.85486
444.0	0.88328
444.2	0.91776
444.4	0.94402
444.6	0.95687
444.8	0.9602
445.0	0.95745
445.2	0.95301
445.4	0.9496
445.6	0.946
445.8	0.94261
446.0	0.93821
446.2	0.93268
446.4	0.92954
446.6	0.92828
446.8	0.93134
447.0	0.9379
447.2	0.94775
447.4	0.95825
447.6	0.97024
447.8	0.97859
448.0	0.98525
448.2	0.98314
448.4	0.97993
448.6	0.97178
448.8	0.96245
449.0	0.95288
449.2	0.94671
449.4	0.94023
449.6	0.93818
449.8	0.93853
450.0	0.94152
450.2	0.94767
450.4	0.95493
450.6	0.96114
450.8	0.96809
451.0	0.97422
451.2	0.97839
451.4	0.98259
451.6	0.98446
451.8	0.98575
452.0	0.98491
452.2	0.9851
452.4	0.98264
452.6	0.98237
452.8	0.98155
453.0	0.98141
453.2	0.98225
453.4	0.982
453.6	0.98368
453.8	0.98344
454.0	0.98305
454.2	0.98181
454.4	0.9791
454.6	0.9763
454.8	0.9728
455.0	0.96803
455.2	0.96337
455.4	0.9582
455.6	0.95423
455.8	0.94917
456.0	0.94674
456.2	0.94305
456.4	0.9401
456.6	0.93768
456.8	0.93465
457.0	0.93194
457.2	0.92873
457.4	0.92651
457.6	0.92459
457.8	0.92348
458.0	0.92389
458.2	0.92593
458.4	0.93005
458.6	0.93597
458.8	0.94295
459.0	0.9518
459.2	0.95934
459.4	0.9674
459.6	0.97336
459.8	0.97577
460.0	0.97688
460.2	0.97554
460.4	0.97199
460.6	0.96827
460.8	0.96433
461.0	0.96104
461.2	0.95853
461.4	0.95893
461.6	0.96126
461.8	0.96602
462.0	0.97094
462.2	0.97697
462.4	0.98107
462.6	0.98433
462.8	0.98613
463.0	0.98271
463.2	0.97844
463.4	0.97138
463.6	0.96569
463.8	0.96034
464.0	0.95693
464.2	0.95688
464.4	0.96051
464.6	0.9656
464.8	0.97215
465.0	0.97796
465.2	0.98436
465.4	0.98632
465.6	0.98535
465.8	0.98196
466.0	0.97661
466.2	0.9698
466.4	0.96455
466.6	0.96082
466.8	0.96019
467.0	0.96167
467.2	0.96535
467.4	0.96834
467.6	0.97255
467.8	0.97625
468.0	0.97994
468.2	0.98198
468.4	0.98208
468.6	0.97412
468.8	0.95397
469.0	0.91802
469.2	0.86545
469.4	0.7842
469.6	0.68092
469.8	0.51135
470.0	0.30519
470.2	0.14698
470.4	0.06389
470.6	0.02873
470.8	0.01061
471.0	0.00492
471.2	0.00244
471.4	0.0013
471.6	7.2624e-04
