Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
494.8	0.01257
495.0	0.01274
495.2	0.01199
495.4	0.01112
495.6	0.01019
495.8	0.00922
496.0	0.00814
496.2	0.0072
496.4	0.00625
496.6	0.00543
496.8	0.00472
497.0	0.00408
497.2	0.00357
497.4	0.00317
497.6	0.0028
497.8	0.00244
498.0	0.00218
498.2	0.00197
498.4	0.00179
498.6	0.00165
498.8	0.00152
499.0	0.00141
499.2	0.00132
499.4	0.00124
499.6	0.00119
499.8	0.00114
500.0	0.0011
500.2	0.00106
500.4	0.00102
500.6	9.7879e-04
500.8	0.00101
501.0	9.9474e-04
501.2	9.8834e-04
501.4	9.8521e-04
501.6	9.9316e-04
501.8	0.001
502.0	0.00101
502.2	0.00103
502.4	0.00105
502.6	0.00108
502.8	0.00111
503.0	0.00116
503.2	0.00121
503.4	0.00127
503.6	0.00133
503.8	0.00141
504.0	0.0015
504.2	0.0016
504.4	0.00171
504.6	0.00185
504.8	0.00196
505.0	0.00208
505.2	0.00226
505.4	0.00249
505.6	0.00276
505.8	0.00306
506.0	0.00343
506.2	0.00386
506.4	0.00451
506.6	0.00515
506.8	0.00589
507.0	0.00676
507.2	0.00788
507.4	0.00923
507.6	0.01086
507.8	0.01274
508.0	0.01529
508.2	0.01834
508.4	0.02216
508.6	0.02693
508.8	0.03282
509.0	0.03991
509.2	0.0453
509.4	0.05497
509.6	0.06597
509.8	0.07859
510.0	0.09221
510.2	0.10729
510.4	0.12256
510.6	0.13687
510.8	0.15205
511.0	0.16678
511.2	0.18111
511.4	0.19422
511.6	0.20583
511.8	0.21606
512.0	0.22428
512.2	0.23261
512.4	0.23945
512.6	0.24532
512.8	0.25014
513.0	0.25407
513.2	0.25911
513.4	0.2639
513.6	0.26962
513.8	0.27793
514.0	0.28848
514.2	0.3028
514.4	0.32054
514.6	0.34009
514.8	0.35738
515.0	0.38818
515.2	0.42207
515.4	0.45984
515.6	0.50264
515.8	0.54725
516.0	0.59274
516.2	0.63545
516.4	0.68033
516.6	0.72348
516.8	0.763
517.0	0.80143
517.2	0.83416
517.4	0.8628
517.6	0.88925
517.8	0.90375
518.0	0.91756
