Typical Measured Spectrum of Semrock FF01-650/150 Optical Filter	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
520.8	2.20E-07
521	2.19E-07
521.2	2.19E-07
521.4	2.18E-07
521.6	2.17E-07
521.8	2.16E-07
522	2.15E-07
522.2	2.14E-07
522.4	2.14E-07
522.6	2.13E-07
522.8	2.12E-07
523	2.11E-07
523.2	2.10E-07
523.4	2.09E-07
523.6	2.09E-07
523.8	2.08E-07
524	2.07E-07
524.2	2.06E-07
524.4	2.05E-07
524.6	2.05E-07
524.8	2.04E-07
525	2.04E-07
525.2	2.04E-07
525.4	2.05E-07
525.6	2.05E-07
525.8	2.05E-07
526	2.05E-07
526.2	2.05E-07
526.4	2.06E-07
526.6	2.06E-07
526.8	2.06E-07
527	2.06E-07
527.2	2.07E-07
527.4	2.07E-07
527.6	2.07E-07
527.8	2.07E-07
528	2.07E-07
528.2	2.08E-07
528.4	2.08E-07
528.6	2.08E-07
528.8	2.08E-07
529	2.08E-07
529.2	2.09E-07
529.4	2.09E-07
529.6	2.09E-07
529.8	2.10E-07
530	2.10E-07
530.2	2.11E-07
530.4	2.12E-07
530.6	2.13E-07
530.8	2.13E-07
531	2.14E-07
531.2	2.15E-07
531.4	2.16E-07
531.6	2.17E-07
531.8	2.17E-07
532	2.18E-07
532.2	2.19E-07
532.4	2.20E-07
532.6	2.20E-07
532.8	2.21E-07
533	2.22E-07
533.2	2.23E-07
533.4	2.24E-07
533.6	2.24E-07
533.8	2.25E-07
534	2.26E-07
534.2	2.27E-07
534.4	2.28E-07
534.6	2.28E-07
534.8	2.28E-07
535	2.28E-07
535.2	2.28E-07
535.4	2.27E-07
535.6	2.27E-07
535.8	2.27E-07
536	2.27E-07
536.2	2.27E-07
536.4	2.26E-07
536.6	2.26E-07
536.8	2.26E-07
537	2.26E-07
537.2	2.26E-07
537.4	2.25E-07
537.6	2.25E-07
537.8	2.25E-07
538	2.25E-07
538.2	2.25E-07
538.4	2.24E-07
538.6	2.24E-07
538.8	2.24E-07
539	2.24E-07
539.2	2.24E-07
539.4	2.24E-07
539.6	2.23E-07
539.8	2.23E-07
540	2.23E-07
540.2	2.23E-07
540.4	2.23E-07
540.6	2.24E-07
540.8	2.26E-07
541	2.29E-07
541.2	2.32E-07
541.4	2.34E-07
541.6	2.37E-07
541.8	2.40E-07
542	2.43E-07
542.2	2.46E-07
542.4	2.48E-07
542.6	2.51E-07
542.8	2.54E-07
543	2.57E-07
543.2	2.60E-07
543.4	2.63E-07
543.6	2.66E-07
543.8	2.69E-07
544	2.72E-07
544.2	2.74E-07
544.4	2.75E-07
544.6	2.77E-07
544.8	2.78E-07
545	2.80E-07
545.2	2.81E-07
545.4	2.82E-07
545.6	2.84E-07
545.8	2.85E-07
546	2.87E-07
546.2	2.88E-07
546.4	2.90E-07
546.6	2.91E-07
546.8	2.93E-07
547	2.94E-07
547.2	2.96E-07
547.4	2.97E-07
547.6	2.99E-07
547.8	3.01E-07
548	3.02E-07
548.2	3.04E-07
548.4	3.05E-07
548.6	2.98E-07
548.8	2.46E-07
549	2.03E-07
549.2	1.68E-07
549.4	1.39E-07
549.6	1.14E-07
549.8	9.45E-08
550	7.80E-08
550.2	7.18E-08
550.4	4.20E-08
550.6	8.94E-08
550.8	1.35E-07
551	4.19E-08
551.2	1.08E-07
551.4	4.21E-08
551.6	8.08E-08
551.8	9.65E-08
552	6.94E-08
552.2	4.54E-08
552.4	7.29E-08
552.6	1.25E-07
552.8	4.20E-08
553	1.14E-07
553.2	5.85E-08
553.4	4.84E-08
553.6	8.35E-08
553.8	1.68E-07
554	1.40E-07
554.2	4.10E-07
554.4	2.84E-07
554.6	3.47E-07
554.8	3.76E-07
555	4.74E-07
555.2	8.19E-07
555.4	8.09E-07
555.6	1.59E-06
555.8	1.97E-06
556	2.96E-06
556.2	3.94E-06
556.4	5.68E-06
556.6	8.11E-06
556.8	1.18E-05
557	1.69E-05
557.2	2.38E-05
557.4	3.47E-05
557.6	4.95E-05
557.8	7.30E-05
558	1.07E-04
558.2	1.55E-04
558.4	2.23E-04
558.6	3.19E-04
558.8	4.49E-04
559	6.27E-04
559.2	8.65E-04
559.4	0.00115362
559.6	0.001481806
559.8	0.001859716
560	0.002287351
560.2	0.002724931
560.4	0.003192346
560.6	0.003689597
560.8	0.004186847
561	0.004703987
561.2	0.005241017
561.4	0.005797937
561.6	0.006374748
561.8	0.007220073
562	0.007856553
562.2	0.008542759
562.4	0.009238909
562.6	0.009984784
562.8	0.010770439
563	0.01146659
563.2	0.0120434
563.4	0.012988175
563.6	0.014121906
563.8	0.015295416
564	0.016637992
564.2	0.018129743
564.4	0.019512098
564.6	0.021381759
564.8	0.02354977
565	0.025996241
565.2	0.028810677
565.4	0.032062693
565.6	0.035026305
565.8	0.038129146
566	0.042892803
566.2	0.048302885
566.4	0.054667688
566.6	0.062176166
566.8	0.070738814
567	0.080455083
567.2	0.092239913
567.4	0.105874514
567.6	0.121915806
567.8	0.140562688
568	0.162073732
568.2	0.187095363
568.4	0.2059312
568.6	0.236860163
568.8	0.271936193
569	0.311000169
569.2	0.354241047
569.4	0.400833391
569.6	0.450260062
569.8	0.502153093
570	0.554543375
570.2	0.606814317
570.4	0.656957028
570.6	0.704772607
570.8	0.748958261
571	0.788549322
571.2	0.823883922
571.4	0.854494645
571.6	0.880809126
571.8	0.902827365
572	0.921653257
572.2	0.937376309
572.4	0.950056189
572.6	0.959842073
572.8	0.968524062
573	0.9755154
573.2	0.980587352
573.4	0.984992989
573.6	0.9873599
573.8	0.989756646
574	0.990751146
574.2	0.991208616
574.4	0.991695922
574.6	0.991268286
574.8	0.990462741
575	0.989637306
575.2	0.988762145
575.4	0.98714111
575.6	0.986315674
575.8	0.985112329
576	0.984187443
576.2	0.983063658
576.4	0.982357563
576.6	0.982079103
576.8	0.981581852
577	0.980835977
577.2	0.981233777
577.4	0.980885702
577.6	0.981353117
577.8	0.981601742
578	0.981581852
578.2	0.982297893
578.4	0.982546518
578.6	0.982705638
578.8	0.983421678
579	0.983779698
579.2	0.984018378
579.4	0.984257058
579.6	0.984754309
579.8	0.984823924
580	0.985012879
580.2	0.985072549
580.4	0.985520074
580.6	0.985012879
580.8	0.985092439
581	0.985679194
581.2	0.985599634
581.4	0.985599634
581.6	0.986096884
581.8	0.986047159
582	0.986534464
582.2	0.98718089
582.4	0.987111275
582.6	0.987151055
582.8	0.988304675
583	0.9883544
583.2	0.989319066
583.4	0.989816316
583.6	0.990492576
583.8	0.990621861
584	0.991795372
584.2	0.992382127
584.4	0.992421907
584.6	0.992710312
584.8	0.993227452
585	0.993476077
585.2	0.993665032
585.4	0.993903712
